Average cost of fossil fuels for electricity generation for all sectors monthly
https://www.eia.gov/electricity/data/browser/#/topic/14?agg=2,0,1&fuel=06&geo=0000000000g&sec=g&freq=M&start=200801&end=202301&chartindexed=0&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=
12:14:46 GMT-0400 (Eastern Daylight Time)
Data source: U.S. Energy Information Administration
Month,Colorado : coal dollars per tons
Jan 2023,34.94
Dec 2022,62.85
Nov 2022,36.19
Oct 2022,34.92
Sep 2022,34.63
Aug 2022,36.75
Jul 2022,35.51
Jun 2022,34.5
May 2022,34.62
Apr 2022,33.23
Mar 2022,29.99
Feb 2022,29.66
Jan 2022,26.44
Dec 2021,28.41
Nov 2021,29.32
Oct 2021,29.85
Sep 2021,28.99
Aug 2021,29.9
Jul 2021,29.05
Jun 2021,29.66
May 2021,27.84
Apr 2021,30.41
Mar 2021,30.9
Feb 2021,31.05
Jan 2021,31.52
Dec 2020,32.49
Nov 2020,32.46
Oct 2020,30.97
Sep 2020,30.76
Aug 2020,31.11
Jul 2020,35.72
Jun 2020,31.41
May 2020,30.11
Apr 2020,31.99
Mar 2020,34.15
Feb 2020,31.21
Jan 2020,30.7
Dec 2019,30.45
Nov 2019,29.16
Oct 2019,31.72
Sep 2019,31.54
Aug 2019,32.79
Jul 2019,33.28
Jun 2019,34.66
May 2019,30.17
Apr 2019,34.33
Mar 2019,33.71
Feb 2019,33.25
Jan 2019,33.13
Dec 2018,28.89
Nov 2018,29.11
Oct 2018,27.99
Sep 2018,31.52
Aug 2018,32.39
Jul 2018,30.97
Jun 2018,30.96
May 2018,28.85
Apr 2018,28.75
Mar 2018,29.39
Feb 2018,31.35
Jan 2018,30.1
Dec 2017,30.73
Nov 2017,33.18
Oct 2017,32.02
Sep 2017,
Aug 2017,31.5
Jul 2017,30.61
Jun 2017,34.22
May 2017,34.52
Apr 2017,35.69
Mar 2017,35.89
Feb 2017,32.95
Jan 2017,34.12
Dec 2016,29.91
Nov 2016,32.36
Oct 2016,32.89
Sep 2016,36.44
Aug 2016,35.92
Jul 2016,34.08
Jun 2016,38.24
May 2016,34.9
Apr 2016,38.8
Mar 2016,36.88
Feb 2016,34.55
Jan 2016,34.04
Dec 2015,34.45
Nov 2015,34.8
Oct 2015,32.92
Sep 2015,33.52
Aug 2015,35.44
Jul 2015,36.19
Jun 2015,37.97
May 2015,33.64
Apr 2015,30.44
Mar 2015,34.91
Feb 2015,34.99
Jan 2015,34.86
Dec 2014,35.19
Nov 2014,35.41
Oct 2014,37.27
Sep 2014,40.23
Aug 2014,38.94
Jul 2014,39.31
Jun 2014,38.4
May 2014,34.95
Apr 2014,36.36
Mar 2014,35.48
Feb 2014,35.73
Jan 2014,36.12
Dec 2013,36.79
Nov 2013,35.66
Oct 2013,36.22
Sep 2013,35.93
Aug 2013,36.79
Jul 2013,35.65
Jun 2013,37.35
May 2013,36.91
Apr 2013,36.32
Mar 2013,35.82
Feb 2013,35.37
Jan 2013,35.89
Dec 2012,35.18
Nov 2012,35.06
Oct 2012,34.85
Sep 2012,35.08
Aug 2012,34.98
Jul 2012,34.83
Jun 2012,34.45
May 2012,33.79
Apr 2012,34.76
Mar 2012,34.94
Feb 2012,36.18
Jan 2012,35.81
Dec 2011,
Nov 2011,
Oct 2011,
Sep 2011,
Aug 2011,
Jul 2011,
Jun 2011,
May 2011,
Apr 2011,
Mar 2011,
Feb 2011,
Jan 2011,
Dec 2010,
Nov 2010,
Oct 2010,
Sep 2010,
Aug 2010,
Jul 2010,
Jun 2010,
May 2010,
Apr 2010,
Mar 2010,
Feb 2010,
Jan 2010,
Dec 2009,
Nov 2009,
Oct 2009,
Sep 2009,
Aug 2009,
Jul 2009,
Jun 2009,
May 2009,
Apr 2009,
Mar 2009,
Feb 2009,
Jan 2009,
Dec 2008,
Nov 2008,
Oct 2008,
Sep 2008,
Aug 2008,
Jul 2008,
Jun 2008,
May 2008,
Apr 2008,
Mar 2008,
Feb 2008,
Jan 2008,
