Custom chart monthly
https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,0,2&fuel=008&geo=vvvvvvvvvvvvo&sec=o3g&linechart=ELEC.GEN.WND-US-99.M~ELEC.GEN.WND-IA-99.M~ELEC.GEN.WND-TX-99.M~ELEC.GEN.WND-CO-99.M~ELEC.GEN.WND-CO-1.M~ELEC.GEN.WND-CO-94.M~ELEC.GEN.WND-CO-96.M~ELEC.GEN.WND-CO-97.M&columnchart=ELEC.GEN.WND-US-99.M~ELEC.GEN.WND-IA-99.M~ELEC.GEN.WND-TX-99.M&map=ELEC.GEN.WND-US-99.M&freq=M&start=200101&end=202302&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=ELEC.GEN.ALL-US-99.M~ELEC.GEN.COW-US-99.M~ELEC.GEN.PEL-US-99.M~ELEC.GEN.PC-US-99.M~ELEC.GEN.NG-US-99.M~ELEC.GEN.OOG-US-99.M~ELEC.GEN.NUC-US-99.M~ELEC.GEN.HYC-US-99.M~ELEC.GEN.WND-US-99.M~ELEC.GEN.SUN-US-99.M~ELEC.GEN.GEO-US-99.M~ELEC.GEN.BIO-US-99.M~ELEC.GEN.WWW-US-99.M~ELEC.GEN.WAS-US-99.M~ELEC.GEN.HPS-US-99.M~ELEC.GEN.OTH-US-99.M~ELEC.GEN.TSN-US-99.M~ELEC.GEN.DPV-US-99.M
20:18:03 GMT-0400 (Eastern Daylight Time)
Data source: U.S. Energy Information Administration
Month,Net generation : wind : Colorado : all sectors : monthly thousand megawatthours,Net generation : wind : Colorado : electric utility : monthly thousand megawatthours,Net generation : wind : Colorado : independent power producers (total) : monthly thousand megawatthours,Net generation : wind : Colorado : all commercial (total) : monthly thousand megawatthours
Feb 2023,1464.39065,405.27692,1058.89173,
Jan 2023,1283.14071,331.45586,951.65285,
Dec 2022,1564.26037,380.94454,1183.22783,
Nov 2022,1520.08394,424.08332,1095.93162,
Oct 2022,1040.40579,277.0937,763.19409,
Sep 2022,1144.20465,312.28411,831.75454,
Aug 2022,1107.71879,298.6352,808.87159,
Jul 2022,1236.52651,331.10398,905.21654,
Jun 2022,1441.02722,400.04936,1040.84986,
May 2022,1563.37185,437.3432,1125.79164,
Apr 2022,1793.95794,480.02465,1313.7213,
Mar 2022,1566.86751,417.87447,1148.48504,
Feb 2022,1309.58094,362.72734,946.7176,
Jan 2022,1418.03251,391.83023,1026.02928,
Dec 2021,1712.73188,460.40843,1251.92945,
Nov 2021,1357.18755,370.36335,986.5742,
Oct 2021,1309.11523,363.65096,945.24926,
Sep 2021,1153.81955,342.08437,811.65018,
Aug 2021,1201.72477,355.34179,846.17898,
Jul 2021,1132.38929,338.53751,793.63578,
Jun 2021,1093.58653,304.93161,788.40592,
May 2021,1236.36645,367.40703,868.72442,
Apr 2021,1332.05443,380.09577,951.68166,
Mar 2021,1372.94304,412.02362,960.60742,
Feb 2021,893.232,229.59874,663.45926,
Jan 2021,1330.54629,347.79582,982.57047,
Dec 2020,1548.58334,412.46706,1136.00328,
Nov 2020,1286.85987,344.70471,942.01816,
Oct 2020,1038.462,225.45679,812.76921,
Sep 2020,1037.84134,332.35012,705.25423,
Aug 2020,1058.95211,229.0217,829.73141,
Jul 2020,1078.56998,204.58866,873.70332,
Jun 2020,991.76819,183.94225,807.62694,
May 2020,1319.13581,266.91215,1052.00867,
Apr 2020,898.13745,185.14874,712.69571,
Mar 2020,897.91668,127.34475,770.25592,
Feb 2020,995.44727,188.39991,806.88136,
Jan 2020,1234.55397,238.69417,995.5678,
Dec 2019,889.49184,167.01136,722.15606,0.1294
Nov 2019,939.51669,170.00388,769.22372,0.13709
Oct 2019,922.89323,159.82345,762.60187,0.13491
Sep 2019,1041.07243,233.73279,807.00998,0.15266
Aug 2019,788.9513,177.35384,611.25963,0.11583
Jul 2019,895.82722,205.17214,690.26972,0.13137
Jun 2019,780.59389,183.72802,596.53134,0.11454
May 2019,866.56113,187.41395,678.7465,0.12767
Apr 2019,1014.36521,221.19852,792.77006,0.14864
Mar 2019,923.9345,207.38576,716.30114,0.13561
Feb 2019,847.60879,182.83533,664.25736,0.12411
Jan 2019,941.55953,186.61698,754.58064,0.13718
Dec 2018,1045.8356,222.49877,823.02542,0.0074
Nov 2018,756.26849,24.80111,731.28282,0.00657
Oct 2018,721.33602,23.80841,697.33231,0.0063
Sep 2018,699.40846,22.94999,676.21239,0.00608
Aug 2018,716.44658,23.51837,692.69599,0.00623
Jul 2018,738.79881,24.22184,714.37256,0.00641
Jun 2018,797.58376,26.1852,771.01963,0.00693
May 2018,696.82357,22.87712,673.64039,0.00606
Apr 2018,986.13819,32.32267,953.43897,0.00856
Mar 2018,1004.87497,32.8735,971.66777,0.0087
Feb 2018,724.49896,23.82431,700.36834,0.00631
Jan 2018,857.1366,28.18072,828.82642,0.00746
Dec 2017,962.88761,30.3282,932.24048,0.12593
Nov 2017,837.26395,26.57617,810.31844,0.11035
Oct 2017,920.58991,29.33205,890.88412,0.12179
Sep 2017,576.84052,18.38029,558.12491,0.07632
Aug 2017,617.61319,19.54022,597.90583,0.08113
Jul 2017,501.1958,15.95157,484.975,0.06623
Jun 2017,627.74826,19.87175,607.52299,0.08251
May 2017,849.77007,26.88874,822.44169,0.11165
Apr 2017,906.60081,28.65896,877.49486,0.119
Mar 2017,875.3912,27.6892,847.22003,0.11497
Feb 2017,803.90698,25.41317,778.04929,0.10552
