"Series Key",ELEC.GEN.HYC-CO-99.M,"Series Key",ELEC.GEN.WND-CO-99.M,"Series Key",ELEC.GEN.SUN-CO-99.M,"Series Key",ELEC.GEN.WWW-CO-99.M
"Series Name","ELEC.GEN.HYC-CO-99.M, monthly","Series Name","ELEC.GEN.WND-CO-99.M, monthly","Series Name","ELEC.GEN.SUN-CO-99.M, monthly","Series Name","ELEC.GEN.WWW-CO-99.M, monthly"
Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours"
Frequency,M,Frequency,M,Frequency,M,Frequency,M
"Start Date",202301,"Start Date",202301,"Start Date",202301,"Start Date",202301
"End Date",200101,"End Date",200101,"End Date",200701,"End Date",200301
Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration"

202301,125.62245,202301,1283.14071,202301,137.59347,202301,3.923
202212,103.99342,202212,1564.26037,202212,141.57415,202212,4.821
202211,100.08033,202211,1520.08394,202211,137.8709,202211,7.285
202210,81.4101,202210,1040.40579,202210,192.80407,202210,8.468
202209,98.96762,202209,1144.20465,202209,225.59896,202209,7.761
202208,145.91431,202208,1107.71879,202208,254.45974,202208,8.401
202207,188.82522,202207,1236.52651,202207,260.65338,202207,8.362
202206,222.76109,202206,1441.02722,202206,238.96371,202206,7.933
202205,161.79216,202205,1563.37185,202205,252.49729,202205,4.926
202204,103.0887,202204,1793.95794,202204,239.04918,202204,8.172
202203,158.91213,202203,1566.86751,202203,202.72678,202203,8.459
202202,146.86929,202202,1309.58094,202202,164.71026,202202,7.595
202201,171.9297,202201,1418.03251,202201,135.40229,202201,8.223
202112,102.55228,202112,1712.73188,202112,119.89851,202112,8.459
202111,84.85588,202111,1357.18755,202111,132.05111,202111,8.24
202110,95.863,202110,1309.11523,202110,133.22426,202110,8.107
202109,117.41795,202109,1153.81955,202109,170.78006,202109,5.579
202108,144.12146,202108,1201.72477,202108,197.23192,202108,8.404
202107,155.12708,202107,1132.38929,202107,206.27118,202107,8.167
202106,153.72217,202106,1093.58653,202106,193.27544,202106,8.236
202105,161.14741,202105,1236.36645,202105,153.1055,202105,8.023
202104,156.0841,202104,1332.05443,202104,143.68101,202104,8.256
202103,158.027,202103,1372.94304,202103,114.62253,202103,7.861
202102,126.93931,202102,893.232,202102,87.25252,202102,7.68
202101,142.45238,202101,1330.54629,202101,78.5544,202101,7.839
