"Series Key",ELEC.GEN.COW-CO-99.M,"Series Key",ELEC.GEN.NG-CO-99.M,"Series Key",ELEC.GEN.HYC-CO-99.M,"Series Key",ELEC.GEN.WND-CO-99.M
"Series Name","ELEC.GEN.COW-CO-99.M, monthly","Series Name","ELEC.GEN.NG-CO-99.M, monthly","Series Name","ELEC.GEN.HYC-CO-99.M, monthly","Series Name","ELEC.GEN.WND-CO-99.M, monthly"
Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours"
Frequency,M,Frequency,M,Frequency,M,Frequency,M
"Start Date",202301,"Start Date",202301,"Start Date",202301,"Start Date",202301
"End Date",200101,"End Date",200101,"End Date",200101,"End Date",200101
Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration"

202301,1853.98283,202301,1729.20866,202301,125.62245,202301,1283.14071
202212,2007.64798,202212,1509.89692,202212,103.99342,202212,1564.26037
202211,1661.65242,202211,1294.67622,202211,100.08033,202211,1520.08394
202210,1655.04793,202210,1191.84434,202210,81.4101,202210,1040.40579
202209,1893.42633,202209,1378.33849,202209,98.96762,202209,1144.20465
202208,2367.56683,202208,1809.12257,202208,145.91431,202208,1107.71879
202207,2395.7522,202207,1746.53453,202207,188.82522,202207,1236.52651
202206,1860.13433,202206,1332.89867,202206,222.76109,202206,1441.02722
202205,1430.25179,202205,1063.25396,202205,161.79216,202205,1563.37185
202204,1269.98973,202204,862.30028,202204,103.0887,202204,1793.95794
202203,1576.19646,202203,1113.63341,202203,158.91213,202203,1566.86751
202202,1612.65234,202202,1151.69161,202202,146.86929,202202,1309.58094
202201,1992.6855,202201,1158.24268,202201,171.9297,202201,1418.03251
202112,1985.03236,202112,974.01814,202112,102.55228,202112,1712.73188
202111,1675.88665,202111,1007.3435,202111,84.85588,202111,1357.18755
202110,1860.35888,202110,819.80409,202110,95.863,202110,1309.11523
202109,1969.35563,202109,1258.62812,202109,117.41795,202109,1153.81955
202108,2333.71352,202108,1619.28299,202108,144.12146,202108,1201.72477
202107,2403.93606,202107,1725.81436,202107,155.12708,202107,1132.38929
202106,2113.13825,202106,1450.67071,202106,153.72217,202106,1093.58653
202105,1400.8643,202105,1236.50177,202105,161.14741,202105,1236.36645
202104,1620.04012,202104,996.66153,202104,156.0841,202104,1332.05443
202103,2049.91549,202103,916.85421,202103,158.027,202103,1372.94304
202102,2223.77864,202102,1223.26773,202102,126.93931,202102,893.232
202101,1966.02173,202101,1330.92598,202101,142.45238,202101,1330.54629
202012,1768.90759,202012,1316.99136,202012,123.41787,202012,1548.58334
202011,1477.1946,202011,1197.20952,202011,117.68368,202011,1286.85987
202010,1502.86021,202010,1360.62909,202010,122.18018,202010,1038.462
202009,1579.51736,202009,1477.54138,202009,111.30348,202009,1037.84134
202008,1863.84009,202008,2000.34495,202008,164.92962,202008,1058.95211
202007,1751.93903,202007,1902.19606,202007,168.78389,202007,1078.56998
202006,1544.19719,202006,1661.86185,202006,171.93428,202006,991.76819
202005,1181.79588,202005,1184.30093,202005,166.97563,202005,1319.13581
202004,1443.39688,202004,1389.89897,202004,135.73466,202004,898.13745
202003,1645.41187,202003,1591.47467,202003,133.80883,202003,897.91668
202002,1734.5674,202002,1635.84269,202002,130.2039,202002,995.44727
202001,1984.77694,202001,1453.04628,202001,121.60499,202001,1234.55397
201912,2424.31795,201912,1517.42519,201912,103.58318,201912,889.49184
201911,2131.86633,201911,1463.68229,201911,103.95034,201911,939.51669
201910,2214.80418,201910,1155.147,201910,126.31779,201910,922.89323
201909,2017.64957,201909,1358.84637,201909,151.38481,201909,1041.07243
201908,2402.42386,201908,1850.58667,201908,189.64655,201908,788.9513
201907,2128.40643,201907,1946.32354,201907,197.44236,201907,895.82722
201906,1764.6433,201906,1368.59417,201906,179.38494,201906,780.59389
201905,1761.04568,201905,1212.46423,201905,176.80472,201905,866.56113
201904,1661.57099,201904,1196.95697,201904,167.49616,201904,1014.36521
201903,2120.11909,201903,1263.68187,201903,143.56442,201903,923.9345
201902,2103.61175,201902,1436.12467,201902,137.56292,201902,847.60879
201901,2590.04363,201901,1327.28296,201901,133.86281,201901,941.55953
201812,2565.71951,201812,1311.05878,201812,114.70173,201812,1045.8356
201811,2282.95727,201811,1270.19498,201811,107.00709,201811,756.26849
201810,2121.51259,201810,1199.96652,201810,129.17987,201810,721.33602
201809,2234.11304,201809,1407.94952,201809,128.07572,201809,699.40846
201808,2626.20302,201808,1573.65143,201808,166.17269,201808,716.44658
201807,2649.47188,201807,1814.471,201807,166.71789,201807,738.79881
201806,2127.34248,201806,1601.35047,201806,180.39467,201806,797.58376
201805,1764.821,201805,1401.90222,201805,187.98116,201805,696.82357
201804,1766.35865,201804,1034.90235,201804,178.23527,201804,986.13819
201803,1974.7329,201803,1141.18733,201803,176.27115,201803,1004.87497
201802,2014.78768,201802,1291.13106,201802,153.44961,201802,724.49896
201801,2254.04014,201801,1350.67374,201801,137.19816,201801,857.1366
201712,2473.61607,201712,1168.4256,201712,137.64783,201712,962.88761
201711,2389.13745,201711,858.12276,201711,130.55431,201711,837.26395
201710,2234.39471,201710,830.86159,201710,120.49751,201710,920.58991
201709,2381.64103,201709,1156.15275,201709,127.71025,201709,576.84052
201708,2601.68922,201708,1431.5731,201708,162.41075,201708,617.61319
201707,2874.28811,201707,1592.44445,201707,197.15023,201707,501.1958
201706,2631.97717,201706,1130.79409,201706,191.09703,201706,627.74826
201705,2214.84934,201705,860.21896,201705,178.53933,201705,849.77007
201704,1821.80966,201704,952.73369,201704,176.83322,201704,906.60081
201703,2399.41711,201703,725.47619,201703,177.26952,201703,875.3912
201702,2412.60344,201702,734.49165,201702,138.32035,201702,803.90698
